"stk","alpha","beta0","sigma","deviance"
1,1.32097295102981,1.90009434996039,0.799847074020981,-2809.54529753565
1,1.71395325688439,3.18660792234317,0.904425509695419,-2817.51150789661
1,1.42867460387647,2.60115871289566,0.739277666834964,-2823.14691993389
1,1.4537523238952,1.93572394050128,0.854610029646571,-2801.50998657611
1,1.22126942809257,2.28085616386167,0.744761630057133,-2826.48904364134
1,1.32751691864966,1.61747632707079,0.73717804446098,-2803.75689952924
1,1.37941592189335,1.75375241054742,1.03648520173128,-2818.60275461469
1,1.33450774839308,2.36086945136719,0.70707640934813,-2799.61240300905
1,1.38977367773843,1.69393633252536,0.704095183385441,-2797.74004234824
1,1.21872955534033,1.64896229451861,0.719333253564447,-2816.04372122034
1,1.488587976068,2.09455721105035,0.766432549800208,-2829.85143262856
1,1.46665312594331,1.50804073978506,0.836526118541328,-2805.39936473641
1,1.51333219261784,1.80199858308935,0.835322227081476,-2809.0915890233
1,1.35361828490816,2.66480374510331,0.756807034328999,-2819.90886631072
1,1.30716075341892,1.46472027097243,0.77531155247661,-2831.28695989904
1,1.5155401957383,1.70363874798493,0.655705404814152,-2814.51099107899
1,1.21021220512104,1.68354837318518,0.830869913330673,-2839.09885757347
1,1.32959249464648,1.66301749136931,0.760557878787546,-2808.93472500986
1,1.49329552867477,2.12550738648144,0.827356670048343,-2811.23305797201
1,1.59704983075867,2.21015923448738,0.757241455984881,-2810.80926652943
1,1.13124053625168,1.99840894670237,0.772297149936496,-2837.51806325005
1,1.374226102645,2.09168802535619,0.810693071587014,-2812.39939799987
1,1.60227076603938,1.56478844053186,0.868450278946631,-2803.67380986055
1,1.52717734283395,2.46111718426199,0.975110674948459,-2825.67555758636
1,1.44752550443854,1.67527104023663,0.926308503064414,-2820.5422946918
1,1.59462750074273,2.90668671659327,1.04253529638414,-2820.75102023652
1,1.3851642353502,1.91350189099813,0.926780927999965,-2807.58013770929
1,1.14818114497509,1.58591238340821,0.898776070488389,-2809.19941323876
1,1.14772353798801,1.61707410882405,0.748223941523536,-2810.11256349701
1,1.43581759838407,1.62092529799565,0.79960281072097,-2811.92726060373
1,1.42795763061045,1.5800059716049,0.857036626609836,-2816.59455995051
1,1.18296999918559,1.61593164761399,0.889523714168175,-2811.91051819065
1,1.36539628994197,2.0997884510753,0.721925788488525,-2811.86302942765
1,1.34399189102631,2.20053754413293,0.789419516425055,-2829.12156759328
1,1.51215337665977,1.85514797003653,0.839062179106548,-2807.30178842933
1,1.45323750945203,1.59844108303239,0.841364832824439,-2818.64015935037
1,1.50653819673755,3.33424298861985,0.895544125388052,-2807.40561401404
1,1.43144074556261,2.10378547761336,0.740266493491334,-2807.47037319738
1,1.26113372077957,2.21823733670482,0.918812961997472,-2817.35974228456
1,1.34249016818452,1.88053837569518,0.831782526329707,-2826.8883207709
1,1.28426668950575,1.9485130201263,0.82151218837099,-2824.05726664212
1,1.17148312708221,2.11832076912382,0.81590951933778,-2835.00787217928
1,1.57360258709049,3.8905437691107,0.850548044560633,-2849.68545819091
1,1.28145943994484,1.57308684984884,0.731335070516009,-2828.04785749852
1,1.40232427078175,2.06896428201589,0.868795584840071,-2811.54677409791
1,1.36874738101219,1.7692917835856,0.666134007749267,-2824.47791226798
1,1.44888914322447,1.78724071462555,0.886138428240343,-2830.45695414805
1,1.57349052664899,2.58298626653177,0.754523257356444,-2814.24811613311
1,1.08796077384832,1.78375531107241,0.765863692599803,-2810.38036410894
1,1.38122367851792,2.28217786291835,0.791401817504961,-2804.65481465498
1,1.35887875459554,1.76463133917777,0.801392471795367,-2831.95147198912
1,1.4076662829878,2.00131361417593,0.845568668420499,-2812.2881165872
1,1.47820792785725,2.82207534683595,0.730689791990452,-2798.33398558547
1,1.37108661053318,1.46982788743617,0.856156740376273,-2799.92965912211
1,1.5288012105759,1.85224239108047,0.714257660895927,-2807.07229326573
1,1.37130791224973,1.63687010884888,0.810345749639147,-2800.60780168118
1,1.39368886567596,1.680016698033,0.69206289499642,-2815.59480807477
1,1.31808652378202,1.65814990246058,0.738083907197211,-2817.08724176057
1,1.2064492595704,1.49880948715831,0.799846529220334,-2817.0609399496
1,1.55290907376295,1.76259583052582,0.794097453502558,-2813.93369720911
1,1.49773360032537,1.59012323239803,0.861800465139017,-2847.48312776191
1,1.45488110701301,1.73809078223443,0.813900053542863,-2821.66102258638
1,1.4166540361526,1.5644829275256,0.894968623527749,-2815.9573057634
1,1.46717319227295,1.92276875452703,0.839625049549392,-2819.1089377686
1,1.4158581191077,1.83730437930562,1.00741424384057,-2828.70885810965
