"CU","alpha","beta0","sigma","deviance","beta1","beta2","beta3","stk"
1,1.78373657928813,1.86763478361072,0.752403632540319,2577.50638839219,2.47643482235792,1.18228163309587,0.329446723803494,"E. Stuart"
1,2.13102930537855,2.91102131775836,0.709463721177068,2590.92832067388,4.21187600563865,1.05757056380316,1.3090419490927,"E. Stuart"
1,1.73430244271393,1.83515968669423,0.775399309693103,2557.82656371599,1.77170201072361,0.784060494397693,1.40026533817613,"E. Stuart"
1,2.07555056908176,2.066923742977,0.728020931332469,2573.38405993598,4.17607238419879,1.85447612867998,0.07610594153922,"E. Stuart"
1,1.86681736452598,1.83442406862682,0.707517902303231,2608.28269390186,2.91615027219467,1.03966863004756,1.42065719137428,"E. Stuart"
1,1.70945572778485,1.84468177319959,0.793255111658726,2559.75115960603,2.31123228047163,1.50706572113934,1.28526164639697,"E. Stuart"
1,2.15848973995978,2.61689676877733,0.804522702777676,2558.25124816855,3.07338890953165,1.64146497656487,1.29913487749416,"E. Stuart"
1,1.71475143598848,1.6314855931288,0.87616575164088,2594.59296874804,0.501855865631946,2.07639434978456,1.64555267505257,"E. Stuart"
1,1.95286088015527,2.30541386702315,0.744032401919038,2580.72546949889,2.11856564768775,1.02546146739414,1.19219078713149,"E. Stuart"
1,1.78515632955874,1.91176239502015,0.949194926873133,2564.5008990887,1.75797450424137,1.24337207906637,2.01978691153129,"E. Stuart"
1,1.8459042248164,1.96468875491595,0.763184515700426,2564.08977528272,2.92070019234043,1.70664701389656,0.132592822450791,"E. Stuart"
1,1.98698533028837,1.79961889754599,0.757144807419143,2594.35744237537,1.7488056981276,2.16310426611432,1.59979472455353,"E. Stuart"
1,1.74752338969199,1.63859471911258,0.781625886775522,2586.00513063767,4.24338414797625,1.56036024818765,0.0126786645749148,"E. Stuart"
1,1.84233191693867,1.93316352095336,0.9322946077319,2563.31458481096,2.37646252421883,0.5010081499832,1.15689691225697,"E. Stuart"
1,1.78121842953907,1.81556100886872,0.87335696541867,2584.63257283107,3.12247629636276,0.942818413696772,0.123204294688289,"E. Stuart"
1,1.88204245651787,2.54940427636371,0.779813276121639,2582.2193805975,2.44133710010733,1.71194769279768,0.292669082921399,"E. Stuart"
1,1.86424620935727,1.62471460176906,0.786768076527234,2597.24105285488,1.0728298538618,1.63588898193629,1.24289144146704,"E. Stuart"
1,1.98336745624377,1.68134729088986,0.731342303273947,2566.70099648088,2.61218061932789,1.87748295775519,2.31809482183739,"E. Stuart"
1,1.69592053341726,2.35653229598898,0.722298758239065,2562.95012428451,2.45027477957562,0.53639470101785,0.20252094083257,"E. Stuart"
1,1.7293362437976,1.93219915963087,0.843181200486011,2597.45944041952,2.70478309806785,0.314324971189265,0.665306502336792,"E. Stuart"
1,1.72464590421026,1.47422795545069,0.66901243351789,2590.7470421293,1.85145051070805,2.40021294349189,0.0991801183619998,"E. Stuart"
1,1.93075336793211,2.08364482623724,0.821471543615549,2565.69661535708,3.08172666648854,1.05719411089679,0.364013155067755,"E. Stuart"
1,2.05305128709193,1.99404589416422,0.672674965074218,2572.56829265881,2.97521598562269,1.79834437974463,2.07014832377734,"E. Stuart"
1,1.75549598572365,1.88638208347148,0.689954639285003,2579.28808628727,2.29895508971953,1.13596180426365,0.945004823465425,"E. Stuart"
1,1.95044675179443,1.77218863642284,0.834724342119559,2601.81364167128,0.710066086602897,2.96949828673807,0.248376339657995,"E. Stuart"
1,2.08102472118052,2.65602569528762,0.684580384747105,2572.0522190901,3.68795474256981,2.12325069325428,0.711004512046282,"E. Stuart"
1,1.76158803449362,1.9517843971498,0.672261669100144,2547.98526095429,2.8210595347298,2.05583377662193,0.221362153917784,"E. Stuart"
1,1.69593002431249,2.05120123853455,0.897225174626535,2545.61317848495,1.53267892823041,0.419485487612623,0.597534658288523,"E. Stuart"
1,1.47507869808937,1.56157807855998,0.770294991110394,2574.25613803735,0.240886921687685,0.905234113372789,0.0487621056447094,"E. Stuart"
1,2.14048824278731,2.50024289524507,0.704140125713282,2584.85882806977,4.16483947713564,2.63950247997787,0.790554595921746,"E. Stuart"
1,1.88491369499997,1.89777097386509,0.833075263787284,2585.14843096119,2.0286748483048,1.57199362403575,1.125006994842,"E. Stuart"
1,1.93451120060962,2.21806153009317,0.814792789431909,2568.09588190914,3.75433311204925,1.41085760765722,0.633516134586514,"E. Stuart"
1,1.70577863105516,2.04757899367463,0.788966030066071,2572.16802666738,1.62990071941363,1.13646575327048,0.694908948758597,"E. Stuart"
1,1.79617911209479,2.31215214336925,0.754280797314025,2566.09324805235,1.71280338143329,1.59354693092945,0.164842200671144,"E. Stuart"
1,1.85614690333485,1.56913425329147,0.702248950738461,2574.30715217343,2.12497546684969,1.9640958741776,1.06570951255513,"E. Stuart"
1,1.48672020137088,1.75642563787686,0.787424288912618,2565.07326157191,2.35895036593051,1.08372272024788,0.297070716551271,"E. Stuart"
1,2.04949021329733,2.95830987277043,0.805837922055641,2594.70731662931,2.91301614588988,0.635266801217652,2.55802116127591,"E. Stuart"
1,1.52555534616447,1.50400118911316,0.66730072281729,2573.11386713697,2.46942889451565,0.938908937399699,0.328364497501017,"E. Stuart"
1,1.93974028723415,2.70771952672744,0.75360220695374,2550.87104588747,2.711937005011,2.03091960138232,0.0875615639077712,"E. Stuart"
1,1.53527494178485,1.60027781014606,0.764948966748789,2567.42944964618,3.10266824061506,1.46360216791718,0.421928342755804,"E. Stuart"
1,1.66432989043806,1.57128461423596,0.891298429480389,2584.65631625718,3.09566497969301,1.38864596130453,0.820255859866394,"E. Stuart"
1,1.52513393970398,1.46850713162547,0.786309129207703,2582.36334679995,2.34734938302941,0.473974442472312,1.21937735078512,"E. Stuart"
1,2.03141505163019,1.47414049129018,0.770050924698103,2570.35560493186,2.32471698127173,2.05454803323067,1.5838863829179,"E. Stuart"
1,2.05599994744198,2.03245136130153,0.690399305377708,2563.91596217922,2.54966524333086,2.81949612630194,1.04528180142038,"E. Stuart"
1,1.87606384717183,1.55602422488471,0.707966958980133,2576.27817341661,3.97711573019011,1.67278029151177,1.00673151250915,"E. Stuart"
1,1.75435447063539,2.09535064528324,0.773485943378301,2556.69394688861,3.05383106263807,1.25481671851643,1.1228232350841,"E. Stuart"
1,1.97234312409765,3.09104625314984,0.778922065764468,2604.09787553316,3.78710614416683,1.8084499562919,0.88218143296424,"E. Stuart"
1,1.75263342693916,1.58910790221375,0.712601014790975,2576.39183493233,1.04543644083729,0.917220872338301,1.28414034417363,"E. Stuart"
1,1.6282446335209,1.80545995253398,0.672729113812578,2595.53755071618,1.74466459206657,0.575116769176069,0.604176996113795,"E. Stuart"
1,2.04849628048017,1.82916362400674,0.932456239098674,2559.44251658185,2.51697738685426,2.12275539063151,1.89676947443994,"E. Stuart"
1,1.72041020212515,1.82376534902113,0.85259628935038,2576.42169751867,2.45548570174034,2.21406662171636,0.87616814390376,"E. Stuart"
1,1.88613509361501,1.92158700172142,0.764991775687038,2569.93859313963,2.50786986304553,1.99281304545035,1.67726040573816,"E. Stuart"
1,1.81140970924732,1.7572278624755,0.714940071506044,2573.36578341202,1.54598120412281,2.00843415928042,0.933919199772212,"E. Stuart"
1,1.86602810394298,1.7687267376929,0.663870321699022,2563.77338184129,3.50625771649259,1.57081106159989,0.600125044050025,"E. Stuart"
1,1.94115113743427,1.56078851849773,0.851187929401649,2588.60897929416,2.97911825629838,2.53149113205402,1.61687031673276,"E. Stuart"
1,1.80280440601978,2.03054402067569,0.795147648353624,2582.82502555251,2.43218340658001,1.49358050404611,1.72313478536811,"E. Stuart"
1,1.79004459301619,1.60892101322593,0.673924800275804,2577.53619702401,1.40208550874198,1.57432819628726,1.21646575566805,"E. Stuart"
1,1.79161679469999,2.16094140735645,0.745568926941516,2559.2587348813,2.5086372466622,1.98173759693773,0.939127087515644,"E. Stuart"
1,2.02350659566986,2.2901379805093,0.727790008564516,2592.54820819917,4.33574543123592,2.04872697200629,0.898399205726792,"E. Stuart"
1,1.67609606896009,1.61836801492171,0.92125232491802,2562.25300853202,2.07710733943024,0.601701419979622,0.85317229868693,"E. Stuart"
1,1.92644639723642,1.82685732915775,0.671136392148294,2587.02161033567,3.69700331099694,1.32298601516682,1.92652719274986,"E. Stuart"
1,1.96811383178306,2.71351672719083,0.790818515530648,2568.2700462297,4.24393082812703,0.819356952519113,0.556167668368653,"E. Stuart"
1,1.95077338115824,1.51639279728914,0.706945248497897,2576.63947790234,3.47850140984215,0.732900339398088,1.04369793761148,"E. Stuart"
1,1.94842770519307,2.01367788295898,0.609729709828785,2571.14954411944,3.36369349141533,1.71950244020045,0.976279358523449,"E. Stuart"
1,1.66636827644753,2.89094820876528,0.777706667083863,2593.33362318011,2.0671824680131,1.13949202550562,0.753368338257802,"E. Stuart"
1,1.85316018796103,1.90746729591099,0.875920758339867,2617.77450594304,2.65744596573625,0.302946207791431,1.98639424383307,"E. Stuart"
1,2.02939732761297,2.57443779071625,0.802603146172291,2559.29326661929,2.39451572908778,1.79883256662489,0.433210647430146,"E. Stuart"
